"application_date","snapshot_date","country","base_ccy","referrer","entity","server","house_name","org","application_type","kyc_status","screening_status","batch_result","received_docs","num_inbound_emails","num_inbound_calls","num_outbound_emails","num_outbound_calls","is_converted"
"2020-09-13","2020-09-13","Spain","EUR","referrer19","Entity3","G","cat14","1","Individual",,"Batch - Processed","PASS",True,,,,,False
"2020-09-02","2020-09-02","Vietnam","USD","referrer7","Entity2","E3","cat2","1","Joint",,"Batch - Reviewed","match",,,,,,False
"2020-09-02","2020-09-02","South Africa","USD","referrer2","Entity4","E2","cat1","1","Individual",,"Batch - Processed","PASS",True,,,,,False
"2020-09-02","2020-09-02","Colombia","USD","referrer3","Entity2","J10","cat4","1","Individual",,"Batch - Processed","PASS",True,,,,,False
"2020-09-02","2020-09-02","France","EUR","referrer4","Entity3","N2","cat13","1","Individual",,"Batch - Processed","PASS",,,,,,False
"2020-08-18","2020-08-19","South Africa","USD","referrer2","Entity4","E2","cat1","1","Individual",,"Batch - Processed","PASS",,,,2,1,False
"2020-08-18","2020-08-19","South Africa","USD","referrer5","Entity3","A01","cat10","1","Individual",,"Batch - Reviewed","match",True,,,2,1,False
"2020-09-02","2020-09-02","Australia","AUD","unknown","Entity1","F","cat6","1","Individual","Missing POR","Ops Reviewed","match",True,,,,,True
"2020-08-18","2020-08-19","South Africa","USD","referrer2","Entity4","E2","cat1","1","Individual",,"Batch - Processed","PASS",True,,,1,1,False
"2020-09-02","2020-09-02","Indonesia","USD","referrer13","Entity2","E3","cat2","1","Individual",,"Completed","PASS",True,,,,,False
"2020-08-18","2020-08-19","South Africa","USD","referrer2","Entity4","E2","cat1","1","Individual",,"Batch - Processed","PASS",,,,2,1,False
"2020-09-02","2020-09-02","China","USD","unknown","Entity2","E3","Other","1","Individual",,"Batch - Processed","PASS",,,,,,False
"2020-09-02","2020-09-02","South Africa","USD","referrer2","Entity4","E2","cat1","1","Individual",,"Batch - Processed","PASS",,,,,,False
"2020-09-02","2020-09-02","China","USD","unknown","Entity2","J10","cat36","1","Individual","Complete","Ops Reviewed","match",True,,,,,False
"2020-08-18","2020-08-19","Nigeria","USD","referrer2","Entity4","J10","cat1","1","Individual",,"Batch - Reviewed","match",,,,3,1,False
"2020-09-02","2020-09-02","Australia","AUD","unknown","Entity1","S","cat6","1","Individual",,"Ops Reviewed","PASS",,,,,,False
"2020-08-18","2020-08-19","Nigeria","USD","referrer2","Entity4","J10","cat1","1","Individual",,"Batch - Processed","PASS",True,1,,2,1,False
"2020-09-02","2020-09-02","South Africa","USD","referrer2","Entity4","J10","cat1","1","Individual",,"Batch - Processed","PASS",,,,,,False
"2020-09-02","2020-09-02","China","USD","unknown","Entity2","E3","cat29","1","Individual",,"Batch - Processed","PASS",,,,,,False
"2020-09-02","2020-09-02","China","USD","unknown","Entity2","E3","cat9","1","Individual","Complete","Batch - Processed","PASS",,,,,,False
"2020-08-18","2020-08-19","Ghana","USD",,"Entity4","J10","cat1","1","Individual",,"Batch - Processed","PASS",True,,,2,1,False
"2020-09-02","2020-09-02","Philippines","USD",,"Entity2","E3","cat2","1","Individual",,"Batch - Processed","PASS",True,,,,,False
"2020-09-02","2020-09-02","China","USD","unknown","Entity2","E3","cat9","1","Individual","Complete","Ops Reviewed","PASS",True,,,,,False
"2020-08-18","2020-08-19","Egypt","USD","referrer12","Entity2","E3","cat16","1","Individual",,"Completed","PASS",True,,,2,1,False
"2020-08-18","2020-08-19","Peru","USD","referrer3","Entity2","E3","cat4","1","Joint",,"Batch - Processed","PASS",,,,3,1,False
"2020-08-03","2020-08-04","Jordan","USD","referrer12","Entity2","E8","Other","1",,,,,,,,6,3,True
"2020-08-19","2020-08-19","Nigeria","USD","referrer2","Entity4","E2","cat1","1","Individual",,"Batch - Processed","PASS",True,,,,,False
"2020-08-18","2020-08-19","Chile","USD","referrer3","Entity2","E3","cat4","1","Individual",,"Batch - Processed","PASS",,,,2,1,False
"2020-08-18","2020-08-19","Venezuela","USD","referrer3","Entity2","E3","cat4","1","Individual",,"Batch - Reviewed","match",True,,,1,2,False
"2020-08-18","2020-08-19","Uganda","USD","referrer2","Entity4","J10","cat1","1","Individual",,"Batch - Processed","PASS",,,,2,1,False
"2020-08-19","2020-08-19","Chile","USD","referrer19","Entity3","J","cat38","1","Individual",,"Ops Reviewed","PASS",,,,3,1,False
"2020-09-02","2020-09-02","Morocco","USD","unknown","Entity2","E3","cat3","1","Individual","Missing POR","Ops Reviewed","PASS",True,,,,,True
"2020-09-02","2020-09-02","Colombia","USD",,"Entity1","J7","cat35","1","Individual",,"Batch - Processed","PASS",,,,,,False
"2020-08-19","2020-08-19","Bolivia","USD","referrer3","Entity2","E3","cat4","1","Individual",,"Batch - Processed","PASS",True,,,1,1,True
"2020-08-19","2020-08-19","Nigeria","USD","referrer2","Entity4","E2","cat1","1","Individual",,"Batch - Processed","PASS",,,,2,1,False
"2020-08-30","2020-08-30","India","USD","referrer9","Entity2","J10","Other","1","Individual",,"Batch - Processed","PASS",,,,,,False
"2020-09-02","2020-09-02","South Africa","USD","referrer2","Entity4","E2","cat1","1","Individual",,"Batch - Processed","PASS",,,,,,False
"2020-08-19","2020-08-19","Serbia","USD","unknown","Entity2","E8","cat3","1","Individual","Missing ID","Rejected","match",,,,,1,False
"2020-08-19","2020-08-19","Pakistan","USD","unknown","Entity2","E8","cat3","1","Individual","Missing ID review and POR","Batch - Processed","PASS",True,,,,1,False
"2020-08-19","2020-08-19","Venezuela","USD","referrer3","Entity2","J10","cat4","1","Joint",,"Batch - Processed","PASS",True,,,3,1,False
"2020-08-19","2020-08-19","Egypt","USD","referrer9","Entity2","E3","cat3","1","Individual",,"Batch - Processed","PASS",,,,1,1,False
"2020-08-19","2020-08-19","Burkina Faso","USD",,"Entity2","J10","cat3","1","Individual",,"Batch - Processed","PASS",,,,1,1,False
"2020-08-19","2020-08-19","France","EUR","referrer4","Entity3","G","cat7","1","Individual",,"Ops Reviewed","PASS",,,,2,1,False
"2020-08-19","2020-08-19","Venezuela","USD","referrer3","Entity2","E3","cat4","1","Individual",,"Ops Reviewed","PASS",,,,1,1,False
"2020-08-19","2020-08-19","South Africa","USD","referrer2","Entity4","E2","cat1","1","Individual",,"Batch - Processed","PASS",,,,2,1,False
"2020-08-30","2020-08-30","Italy","EUR","referrer16","Entity3","N","cat21","1","Individual",,"Batch - Processed","PASS",,,,,,False
"2020-09-02","2020-09-02","Vietnam","USD","referrer7","Entity2","E3","cat2","1","Individual",,"Batch - Processed","PASS",,,,,,False
"2020-09-02","2020-09-02","India","USD","unknown","Entity2","E3","cat2","1",,,,,,,,,,False
"2020-08-19","2020-08-19","China","USD","unknown","Entity2","E8","cat12","1","Individual","Complete","Batch - Processed","PASS",,,,4,1,False
"2020-08-19","2020-08-19","Bangladesh","USD","unknown","Entity2","J10","cat3","1","Individual","Missing ID and POR","Batch - Processed","PASS",True,,,,1,False
"2020-08-19","2020-08-19","China","USD","unknown","Entity2","E8","cat8","1","Individual","Complete","Batch - Processed","PASS",,,,1,2,False
"2020-08-30","2020-08-30","France","EUR",,"Entity3","N2","cat13","1","Individual",,"Batch - Processed","PASS",True,,,,,False
"2020-09-02","2020-09-02","China","USD","unknown","Entity2","E3","cat9","1","Individual","Complete","Ops Reviewed","match",True,,,,,False
"2020-09-02","2020-09-02","China","USD",,"Entity2","E3","cat28","1","Individual",,"Batch - Processed","PASS",,,,,,False
"2020-08-19","2020-08-19","China","USD","unknown","Entity2","E3","cat19","1","Individual",,"Batch - Processed","PASS",,,,,,True
"2020-08-19","2020-08-19","China","USD",,"Entity2","E8","Other","1","Individual",,"Batch - Processed","PASS",,,,,,False
"2020-08-19","2020-08-19","India","USD","unknown","Entity2","J10","cat2","1","Individual","Missing ID","Batch - Processed","PASS",True,,,,1,False
"2020-08-30","2020-08-30","Botswana","USD","referrer2","Entity4","E2","cat1","1","Individual",,"Batch - Processed","PASS",True,,,,,False
"2020-09-02","2020-09-02","Madagascar","EUR","referrer4","Entity3","G","cat14","1","Individual",,"Batch - Processed","PASS",True,,,1,1,False
"2020-08-19","2020-08-19","China","USD","unknown","Entity2","E8","cat12","1","Individual","Complete","Batch - Processed","PASS",,,,2,1,False
"2020-08-30","2020-08-30","India","USD","unknown","Entity2","J10","cat2","1","Individual","Missing ID","Batch - Processed","PASS",True,,,,,False
"2020-09-02","2020-09-02","China","USD","unknown","Entity2","J10","cat9","1","Individual","Missing ID","Batch - Processed","PASS",,,,,,False
"2020-09-02","2020-09-02","Thailand","USD","unknown","Entity2","E3","cat2","1","Individual","Missing ID review","Batch - Reviewed","match",True,,,,,False
"2020-09-02","2020-09-02","Malaysia","USD","unknown","Entity2","J10","Other","1","Individual","Missing ID","Batch - Processed","PASS",,,,,,False
